一中	169
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

万有	38
万感	ばんかん
万国	ばんこく
万歳	ばんざい
万策	ばんさく
万事	ばんじ
万象	ばんしょう
万障	ばんしょう
万世	ばんせい
万全	ばんぜん
万端	ばんたん
万難	ばんなん
万人	ばんにん
万能	ばんのう
万般	ばんぱん
万物	ばんぶつ
万邦	ばんぽう
万民	ばんみん
万雷	ばんらい
万葉	まんにょう
万能	まんのう
万病	まんびょう
万葉	まんよう
万力	まんりき
含有	がんゆう
享有	きょうゆう
共有	きょうゆう
稀有	けう
公有	こうゆう
国有	こくゆう
個有	こゆう
固有	こゆう
私有	しゆう
所有	しょゆう
占有	せんゆう
専有	せんゆう
特有	とくゆう
保有	ほゆう
領有	りょうゆう

三友	33
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
悪友	あくゆう
畏友	いゆう
学友	がくゆう
級友	きゅうゆう
旧友	きゅうゆう
交友	こうゆう
校友	こうゆう
師友	しゆう
親友	しんゆう
戦友	せんゆう
知友	ちゆう
盟友	めいゆう
療友	りょうゆう
良友	りょうゆう

三宮	30
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
行宮	あんぐう
王宮	おうきゅう
参宮	さんぐう
子宮	しきゅう
神宮	じんぐう
中宮	ちゅうぐう
東宮	とうぐう
迷宮	めいきゅう
宵宮	よいみや
離宮	りきゅう
竜宮	りゅうぐう

三封	25
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
帯封	おびふう
開封	かいふう
完封	かんぷう
厳封	げんぷう
同封	どうふう
密封	みっぷう

三従	28
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
屈従	くつじゅう
侍従	じじゅう
主従	しゅうじゅう
主従	しゅじゅう
専従	せんじゅう
追従	ついじゅう
追従	ついしょう
服従	ふくじゅう
盲従	もうじゅう

三流	60
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

三秋	29
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
今秋	こんしゅう
春秋	しゅんじゅう
初秋	しょしゅう
仲秋	ちゅうしゅう
麦秋	ばくしゅう
初秋	はつあき
春秋	はるあき
晩秋	ばんしゅう
麦秋	むぎあき
立秋	りっしゅう

三重	40
三界	さんがい
三角	さんかく
三脚	さんきゃく
三更	さんこう
三叉	さんさ
三才	さんさい
三四	さんし
三十	さんじゅう
三振	さんしん
三助	さんすけ
三正	さんせい
三千	さんぜん
三体	さんたい
三哲	さんてつ
三百	さんびゃく
三分	さんぶん
三宝	さんぼう
三昧	さんまい
三塁	さんるい
幾重	いくえ
加重	かじゅう
荷重	かじゅう
過重	かじゅう
貴重	きちょう
軽重	けいじゅう
軽重	けいちょう
厳重	げんじゅう
自重	じちょう
慎重	しんちょう
荘重	そうちょう
尊重	そんちょう
体重	たいじゅう
珍重	ちんちょう
鄭重	ていちょう
鈍重	どんじゅう
二重	にじゅう
比重	ひじゅう
二重	ふたえ
偏重	へんちょう
八重	やえ

上流	99
上げ	あげ
上下	うえした
上皮	うわかわ
上側	うわがわ
上着	うわぎ
上靴	うわぐつ
上手	うわて
上前	うわまえ
上目	うわめ
上役	うわやく
上方	かみがた
上期	かみき
上座	かみざ
上手	かみて
上位	じょうい
上院	じょういん
上映	じょうえい
上演	じょうえん
上下	しょうか
上官	じょうかん
上気	じょうき
上記	じょうき
上級	じょうきゅう
上京	じょうきょう
上空	じょうくう
上下	じょうげ
上弦	じょうげん
上古	じょうこ
上戸	じょうご
上皇	じょうこう
上告	じょうこく
上座	じょうざ
上梓	じょうし
上司	じょうし
上旬	じょうじゅん
上昇	じょうしょう
上乗	じょうじょう
上申	じょうしん
上手	じょうず
上水	じょうすい
上製	じょうせい
上席	じょうせき
上訴	じょうそ
上奏	じょうそう
上層	じょうそう
上体	じょうたい
上代	じょうだい
上達	じょうたつ
上段	じょうだん
上程	じょうてい
上棟	じょうとう
上等	じょうとう
上人	しょうにん
上品	じょうひん
上部	じょうぶ
上方	じょうほう
上物	じょうもの
上陸	じょうりく
上り	のぼり
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

上空	82
上げ	あげ
上下	うえした
上皮	うわかわ
上側	うわがわ
上着	うわぎ
上靴	うわぐつ
上手	うわて
上前	うわまえ
上目	うわめ
上役	うわやく
上方	かみがた
上期	かみき
上座	かみざ
上手	かみて
上位	じょうい
上院	じょういん
上映	じょうえい
上演	じょうえん
上下	しょうか
上官	じょうかん
上気	じょうき
上記	じょうき
上級	じょうきゅう
上京	じょうきょう
上下	じょうげ
上弦	じょうげん
上古	じょうこ
上戸	じょうご
上皇	じょうこう
上告	じょうこく
上座	じょうざ
上梓	じょうし
上司	じょうし
上旬	じょうじゅん
上昇	じょうしょう
上乗	じょうじょう
上申	じょうしん
上手	じょうず
上水	じょうすい
上製	じょうせい
上席	じょうせき
上訴	じょうそ
上奏	じょうそう
上層	じょうそう
上体	じょうたい
上代	じょうだい
上達	じょうたつ
上段	じょうだん
上程	じょうてい
上棟	じょうとう
上等	じょうとう
上人	しょうにん
上品	じょうひん
上部	じょうぶ
上方	じょうほう
上物	じょうもの
上陸	じょうりく
上流	じょうりゅう
上り	のぼり
青空	あおぞら
大空	おおぞら
架空	かくう
滑空	かっくう
航空	こうくう
高空	こうくう
虚空	こくう
寒空	さむぞら
真空	しんくう
高空	たかぞら
中空	ちゅうくう
低空	ていくう
天空	てんくう
中空	なかぞら
冬空	ふゆぞら
防空	ぼうくう
星空	ほしぞら
み空	みそら
身空	みそら
夕空	ゆうぞら
雪空	ゆきぞら
夜空	よぞら
領空	りょうくう

上級	73
上げ	あげ
上下	うえした
上皮	うわかわ
上側	うわがわ
上着	うわぎ
上靴	うわぐつ
上手	うわて
上前	うわまえ
上目	うわめ
上役	うわやく
上方	かみがた
上期	かみき
上座	かみざ
上手	かみて
上位	じょうい
上院	じょういん
上映	じょうえい
上演	じょうえん
上下	しょうか
上官	じょうかん
上気	じょうき
上記	じょうき
上京	じょうきょう
上空	じょうくう
上下	じょうげ
上弦	じょうげん
上古	じょうこ
上戸	じょうご
上皇	じょうこう
上告	じょうこく
上座	じょうざ
上梓	じょうし
上司	じょうし
上旬	じょうじゅん
上昇	じょうしょう
上乗	じょうじょう
上申	じょうしん
上手	じょうず
上水	じょうすい
上製	じょうせい
上席	じょうせき
上訴	じょうそ
上奏	じょうそう
上層	じょうそう
上体	じょうたい
上代	じょうだい
上達	じょうたつ
上段	じょうだん
上程	じょうてい
上棟	じょうとう
上等	じょうとう
上人	しょうにん
上品	じょうひん
上部	じょうぶ
上方	じょうほう
上物	じょうもの
上陸	じょうりく
上流	じょうりゅう
上り	のぼり
階級	かいきゅう
下級	かきゅう
学級	がっきゅう
高級	こうきゅう
首級	しゅきゅう
昇級	しょうきゅう
初級	しょきゅう
進級	しんきゅう
全級	ぜんきゅう
中級	ちゅうきゅう
低級	ていきゅう
等級	とうきゅう
同級	どうきゅう
特級	とっきゅう

下流	101
下位	かい
下院	かいん
下級	かきゅう
下弦	かげん
下降	かこう
下士	かし
下賜	かし
下層	かそう
下段	かだん
下等	かとう
下付	かふ
下部	かぶ
下方	かほう
下僚	かりょう
下し	くだし
下り	くだり
下界	げかい
下戸	げこ
下向	げこう
下校	げこう
下座	げざ
下剤	げざい
下山	げざん
下知	げじ
下車	げしゃ
下宿	げしゅく
下旬	げじゅん
下女	げじょ
下司	げす
下水	げすい
下賎	げせん
下足	げそく
下駄	げた
下段	げだん
下知	げち
下男	げなん
下馬	げば
下阪	げはん
下品	げひん
下野	げや
下落	げらく
下痢	げり
下劣	げれつ
下げ	さげ
下絵	したえ
下側	したがわ
下着	したぎ
下心	したごころ
下地	したじ
下手	したて
下腹	したはら
下火	したび
下前	したまえ
下町	したまち
下見	したみ
下役	したやく
下期	しもき
下座	しもざ
下々	しもじも
下手	しもて
下手	へた
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
